1,0.15,0.07,0.57,0.29,0.14,0.02,0.18,0.21,0.91,0.30,0.03,0.24,0.25,0.14,0.18
0.15,1,0.20,0.08,0.22,0.36,0.11,0.36,0.46,0.27,0.21,0.17,0.40,0.51,0.25,0.36
0.07,0.20,1,0.03,0.02,0.34,0.00,0.10,0.11,0.14,0.04,0.06,0.30,0.20,0.10,0.13
0.57,0.08,0.03,1,0.12,0.08,0.08,0.12,0.24,0.54,0.21,0.04,0.15,0.19,0.15,0.15
0.29,0.22,0.02,0.12,1,0.09,0.05,0.30,0.24,0.36,0.38,0.17,0.21,0.29,0.23,0.38
0.14,0.36,0.34,0.08,0.09,1,0.07,0.19,0.17,0.26,0.10,0.09,0.38,0.41,0.14,0.19
0.02,0.11,0.00,0.08,0.05,0.07,1,0.10,0.10,0.06,0.06,0.06,0.13,0.21,0.01,0.14
0.18,0.36,0.10,0.12,0.30,0.19,0.10,1,0.56,0.29,0.48,0.19,0.36,0.46,0.18,0.42
0.21,0.46,0.11,0.24,0.24,0.17,0.10,0.56,1,0.29,0.47,0.33,0.32,0.41,0.26,0.36
0.91,0.27,0.14,0.54,0.36,0.26,0.06,0.29,0.29,1,0.37,0.10,0.39,0.43,0.25,0.30
0.30,0.21,0.04,0.21,0.38,0.10,0.06,0.48,0.47,0.37,1,0.23,0.27,0.36,0.21,0.39
0.03,0.17,0.06,0.04,0.17,0.09,0.06,0.19,0.33,0.10,0.23,1,0.16,0.24,0.06,0.19
0.24,0.40,0.30,0.15,0.21,0.38,0.13,0.36,0.32,0.39,0.27,0.16,1,0.64,0.29,0.35
0.25,0.51,0.20,0.19,0.29,0.41,0.21,0.46,0.41,0.43,0.36,0.24,0.64,1,0.36,0.47
0.14,0.25,0.10,0.15,0.23,0.14,0.01,0.18,0.26,0.25,0.21,0.06,0.29,0.36,1,0.24
0.18,0.36,0.13,0.15,0.38,0.19,0.14,0.42,0.36,0.30,0.39,0.19,0.35,0.47,0.24,1
