1,0.07,0.10,0.06,0.28,N/A,0.02,0.08,N/A,0.18,0.20,0.01,0.07,0.05,0.09,N/A,N/A,0.34,0.26,-0.02,0.18,0.05,N/A,0.01,0.13,N/A,N/A,0.14,0.11,N/A,-0.00,0.15,0.15
0.07,1,0.06,0.18,0.35,N/A,0.07,0.27,N/A,0.18,0.43,0.14,0.04,0.09,0.32,N/A,N/A,0.37,0.25,0.02,0.24,0.16,N/A,0.09,0.14,N/A,N/A,0.17,0.16,N/A,0.12,0.13,0.34
0.10,0.06,1,0.04,0.15,N/A,0.10,0.04,N/A,0.06,0.28,0.02,0.05,0.21,0.01,N/A,N/A,0.17,0.04,-0.00,0.11,0.01,N/A,-0.03,0.03,N/A,N/A,0.09,0.08,N/A,0.02,0.01,0.08
0.06,0.18,0.04,1,0.19,N/A,0.08,0.11,N/A,0.08,0.20,0.12,0.03,0.09,0.07,N/A,N/A,0.23,0.24,0.28,0.23,0.09,N/A,0.14,0.15,N/A,N/A,0.09,0.13,N/A,0.04,0.27,0.26
0.28,0.35,0.15,0.19,1,N/A,0.10,0.13,N/A,0.37,0.51,0.06,0.06,0.09,0.23,N/A,N/A,0.94,0.50,0.11,0.29,0.03,N/A,0.08,0.10,N/A,N/A,0.18,0.14,N/A,0.03,0.19,0.31
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.07,0.10,0.08,0.10,N/A,1,0.05,N/A,0.03,0.07,-0.00,-0.08,0.04,0.07,N/A,N/A,0.13,0.14,-0.05,0.12,-0.02,N/A,-0.01,0.16,N/A,N/A,0.05,-0.04,N/A,-0.01,0.05,0.02
0.08,0.27,0.04,0.11,0.13,N/A,0.05,1,N/A,0.07,0.17,0.14,-0.01,0.15,0.15,N/A,N/A,0.15,0.21,0.10,0.24,0.01,N/A,0.01,0.05,N/A,N/A,0.05,0.08,N/A,0.12,0.25,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.18,0.06,0.08,0.37,N/A,0.03,0.07,N/A,1,0.31,0.04,0.02,0.05,0.07,N/A,N/A,0.44,0.29,0.09,0.23,0.12,N/A,0.01,0.01,N/A,N/A,0.19,0.22,N/A,0.02,0.11,0.21
0.20,0.43,0.28,0.20,0.51,N/A,0.07,0.17,N/A,0.31,1,-0.02,0.04,0.10,0.30,N/A,N/A,0.55,0.28,0.14,0.32,0.07,N/A,0.08,0.10,N/A,N/A,0.20,0.17,N/A,-0.02,0.18,0.28
0.01,0.14,0.02,0.12,0.06,N/A,-0.00,0.14,N/A,0.04,-0.02,1,0.06,0.26,0.02,N/A,N/A,0.05,0.17,-0.01,0.22,0.09,N/A,-0.00,0.14,N/A,N/A,0.06,0.34,N/A,0.94,0.00,0.09
0.07,0.04,0.05,0.03,0.06,N/A,-0.08,-0.01,N/A,0.02,0.04,0.06,1,-0.01,-0.06,N/A,N/A,0.09,0.08,-0.00,0.09,-0.00,N/A,0.01,0.05,N/A,N/A,0.04,-0.02,N/A,0.05,0.03,0.01
0.05,0.09,0.21,0.09,0.09,N/A,0.04,0.15,N/A,0.05,0.10,0.26,-0.01,1,0.03,N/A,N/A,0.10,0.22,0.14,0.11,-0.02,N/A,0.03,0.16,N/A,N/A,0.01,0.38,N/A,0.20,0.08,0.06
