N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,-0.01,0.03,0.12,-0.03,-0.07,-0.03,0.04,0.01,-0.03,0.10,0.03,0.01,-0.04
N/A,-0.01,1,0.10,0.16,0.06,-0.00,-0.02,0.07,0.09,-0.01,0.10,0.07,0.06,-0.04
N/A,0.03,0.10,1,0.42,0.29,0.06,0.14,0.10,0.15,0.06,0.36,0.09,0.16,0.08
N/A,0.12,0.16,0.42,1,0.33,0.08,0.15,0.15,0.36,0.12,0.56,0.26,0.22,0.10
N/A,-0.03,0.06,0.29,0.33,1,0.24,0.19,0.12,0.40,0.02,0.37,0.12,0.17,0.00
N/A,-0.07,-0.00,0.06,0.08,0.24,1,0.20,0.02,0.26,-0.01,0.26,0.16,0.08,0.08
N/A,-0.03,-0.02,0.14,0.15,0.19,0.20,1,-0.01,0.20,0.02,0.34,0.36,0.10,0.13
N/A,0.04,0.07,0.10,0.15,0.12,0.02,-0.01,1,0.17,0.00,0.11,0.03,0.12,0.04
N/A,0.01,0.09,0.15,0.36,0.40,0.26,0.20,0.17,1,0.03,0.30,0.11,0.14,0.01
N/A,-0.03,-0.01,0.06,0.12,0.02,-0.01,0.02,0.00,0.03,1,0.04,0.06,-0.01,0.08
N/A,0.10,0.10,0.36,0.56,0.37,0.26,0.34,0.11,0.30,0.04,1,0.45,0.26,0.10
N/A,0.03,0.07,0.09,0.26,0.12,0.16,0.36,0.03,0.11,0.06,0.45,1,0.03,0.04
N/A,0.01,0.06,0.16,0.22,0.17,0.08,0.10,0.12,0.14,-0.01,0.26,0.03,1,0.12
N/A,-0.04,-0.04,0.08,0.10,0.00,0.08,0.13,0.04,0.01,0.08,0.10,0.04,0.12,1
