1,0.28,0.01,N/A,0.21,0.15,0.09,-0.07,N/A,0.12,0.05,0.05,0.23,N/A,0.17,0.11,N/A,0.06,0.16,0.17
0.28,1,0.09,N/A,0.07,0.24,0.20,0.40,N/A,0.13,0.27,0.21,0.14,N/A,0.09,0.26,N/A,-0.00,0.18,0.23
0.01,0.09,1,N/A,0.09,0.04,0.10,0.16,N/A,0.01,0.01,0.15,0.08,N/A,0.07,0.03,N/A,0.05,0.03,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,0.07,0.09,N/A,1,0.15,0.18,-0.04,N/A,0.06,0.04,0.04,0.32,N/A,0.55,0.14,N/A,0.06,0.24,0.31
0.15,0.24,0.04,N/A,0.15,1,0.13,0.12,N/A,0.06,0.20,0.22,0.16,N/A,0.17,0.27,N/A,-0.02,0.17,0.19
0.09,0.20,0.10,N/A,0.18,0.13,1,0.17,N/A,0.22,0.13,0.13,0.15,N/A,0.20,0.24,N/A,0.02,0.25,0.26
-0.07,0.40,0.16,N/A,-0.04,0.12,0.17,1,N/A,-0.01,-0.01,0.61,0.06,N/A,0.00,0.10,N/A,0.07,-0.01,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.13,0.01,N/A,0.06,0.06,0.22,-0.01,N/A,1,0.18,0.02,0.09,N/A,0.07,0.15,N/A,-0.04,0.18,0.19
0.05,0.27,0.01,N/A,0.04,0.20,0.13,-0.01,N/A,0.18,1,0.04,0.06,N/A,0.11,0.19,N/A,-0.01,0.12,0.23
0.05,0.21,0.15,N/A,0.04,0.22,0.13,0.61,N/A,0.02,0.04,1,0.07,N/A,0.15,0.09,N/A,0.04,0.06,0.08
0.23,0.14,0.08,N/A,0.32,0.16,0.15,0.06,N/A,0.09,0.06,0.07,1,N/A,0.24,0.24,N/A,0.04,0.14,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.09,0.07,N/A,0.55,0.17,0.20,0.00,N/A,0.07,0.11,0.15,0.24,N/A,1,0.10,N/A,-0.02,0.28,0.32
0.11,0.26,0.03,N/A,0.14,0.27,0.24,0.10,N/A,0.15,0.19,0.09,0.24,N/A,0.10,1,N/A,-0.01,0.20,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,-0.00,0.05,N/A,0.06,-0.02,0.02,0.07,N/A,-0.04,-0.01,0.04,0.04,N/A,-0.02,-0.01,N/A,1,-0.01,0.07
0.16,0.18,0.03,N/A,0.24,0.17,0.25,-0.01,N/A,0.18,0.12,0.06,0.14,N/A,0.28,0.20,N/A,-0.01,1,0.27
0.17,0.23,0.11,N/A,0.31,0.19,0.26,0.06,N/A,0.19,0.23,0.08,0.27,N/A,0.32,0.28,N/A,0.07,0.27,1
