1,0.11,0.13,0.12,0.01,0.07,0.05,0.01,0.02,-0.00,0.13,0.03,N/A,0.06,0.06,0.05
0.11,1,0.78,0.52,0.38,0.60,0.41,0.40,0.40,0.31,0.50,0.34,N/A,0.44,0.18,0.45
0.13,0.78,1,0.61,0.43,0.54,0.47,0.38,0.44,0.38,0.60,0.36,N/A,0.53,0.19,0.54
0.12,0.52,0.61,1,0.36,0.44,0.33,0.22,0.42,0.21,0.64,0.24,N/A,0.39,0.08,0.33
0.01,0.38,0.43,0.36,1,0.31,0.17,0.20,0.18,0.15,0.37,0.27,N/A,0.19,0.13,0.29
0.07,0.60,0.54,0.44,0.31,1,0.27,0.31,0.20,0.16,0.41,0.30,N/A,0.22,0.13,0.22
0.05,0.41,0.47,0.33,0.17,0.27,1,0.18,0.30,0.25,0.29,0.14,N/A,0.32,0.03,0.30
0.01,0.40,0.38,0.22,0.20,0.31,0.18,1,0.23,0.16,0.22,0.34,N/A,0.19,0.16,0.12
0.02,0.40,0.44,0.42,0.18,0.20,0.30,0.23,1,0.24,0.49,0.11,N/A,0.34,0.06,0.31
-0.00,0.31,0.38,0.21,0.15,0.16,0.25,0.16,0.24,1,0.29,0.05,N/A,0.30,0.05,0.34
0.13,0.50,0.60,0.64,0.37,0.41,0.29,0.22,0.49,0.29,1,0.23,N/A,0.39,0.11,0.34
0.03,0.34,0.36,0.24,0.27,0.30,0.14,0.34,0.11,0.05,0.23,1,N/A,0.16,0.09,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.44,0.53,0.39,0.19,0.22,0.32,0.19,0.34,0.30,0.39,0.16,N/A,1,-0.00,0.40
0.06,0.18,0.19,0.08,0.13,0.13,0.03,0.16,0.06,0.05,0.11,0.09,N/A,-0.00,1,0.15
0.05,0.45,0.54,0.33,0.29,0.22,0.30,0.12,0.31,0.34,0.34,0.08,N/A,0.40,0.15,1
