N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.06,1.00,0.10,N/A,0.05,N/A,-0.05,0.13,0.14,0.04,N/A,0.16,N/A,0.07,0.11,0.09,-0.02,0.19,0.03,0.09,0.01,0.08,0.05,N/A,0.10,0.06,0.04,0.06,0.42,0.15
N/A,0.06,1,0.06,0.03,N/A,0.12,N/A,0.03,0.02,0.15,0.11,N/A,0.10,N/A,0.07,-0.02,0.06,0.03,0.17,0.04,0.01,0.27,0.02,0.19,N/A,-0.03,0.15,0.11,0.10,0.04,-0.02
N/A,1.00,0.06,1,0.10,N/A,0.05,N/A,-0.05,0.13,0.14,0.04,N/A,0.16,N/A,0.07,0.11,0.09,-0.02,0.19,0.03,0.09,0.01,0.08,0.05,N/A,0.10,0.06,0.04,0.06,0.42,0.15
N/A,0.10,0.03,0.10,1,N/A,0.13,N/A,0.02,0.11,0.23,0.07,N/A,0.14,N/A,0.11,0.09,0.04,0.04,0.17,0.04,0.26,0.10,0.18,0.14,N/A,0.03,0.15,0.20,0.17,0.08,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.05,0.12,0.05,0.13,N/A,1,N/A,0.04,0.18,0.28,0.15,N/A,0.15,N/A,0.17,0.13,0.08,0.08,0.24,0.12,0.14,0.15,0.23,0.20,N/A,0.09,0.10,0.23,0.34,0.08,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.05,0.03,-0.05,0.02,N/A,0.04,N/A,1,0.09,0.25,0.06,N/A,0.27,N/A,0.13,0.02,0.03,0.06,0.06,0.14,0.10,0.10,0.18,0.10,N/A,0.01,0.28,0.24,0.12,0.01,0.23
N/A,0.13,0.02,0.13,0.11,N/A,0.18,N/A,0.09,1,0.62,0.36,N/A,0.34,N/A,0.31,0.27,0.27,0.11,0.28,0.24,0.23,0.29,0.39,0.28,N/A,0.13,0.32,0.42,0.35,0.20,0.15
N/A,0.14,0.15,0.14,0.23,N/A,0.28,N/A,0.25,0.62,1,0.39,N/A,0.54,N/A,0.46,0.24,0.37,0.16,0.39,0.28,0.25,0.34,0.54,0.37,N/A,0.14,0.45,0.65,0.55,0.14,0.35
N/A,0.04,0.11,0.04,0.07,N/A,0.15,N/A,0.06,0.36,0.39,1,N/A,0.22,N/A,0.18,0.11,0.13,0.16,0.21,0.19,0.18,0.31,0.27,0.35,N/A,0.02,0.33,0.28,0.28,0.07,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.16,0.10,0.16,0.14,N/A,0.15,N/A,0.27,0.34,0.54,0.22,N/A,1,N/A,0.41,0.20,0.47,0.14,0.24,0.15,0.23,0.25,0.42,0.23,N/A,0.05,0.31,0.53,0.42,0.11,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.07,0.07,0.07,0.11,N/A,0.17,N/A,0.13,0.31,0.46,0.18,N/A,0.41,N/A,1,0.07,0.16,0.07,0.11,0.34,0.14,0.17,0.36,0.23,N/A,0.08,0.24,0.40,0.33,0.12,0.19
N/A,0.11,-0.02,0.11,0.09,N/A,0.13,N/A,0.02,0.27,0.24,0.11,N/A,0.20,N/A,0.07,1,0.05,-0.01,0.16,0.08,0.14,0.09,0.11,0.14,N/A,0.08,0.14,0.17,0.14,0.00,0.06
N/A,0.09,0.06,0.09,0.04,N/A,0.08,N/A,0.03,0.27,0.37,0.13,N/A,0.47,N/A,0.16,0.05,1,0.11,0.18,0.03,0.16,0.26,0.27,0.28,N/A,0.12,0.17,0.50,0.26,0.12,0.10
N/A,-0.02,0.03,-0.02,0.04,N/A,0.08,N/A,0.06,0.11,0.16,0.16,N/A,0.14,N/A,0.07,-0.01,0.11,1,0.11,0.05,0.09,0.13,0.15,0.13,N/A,-0.06,0.06,0.12,0.18,0.13,-0.00
N/A,0.19,0.17,0.19,0.17,N/A,0.24,N/A,0.06,0.28,0.39,0.21,N/A,0.24,N/A,0.11,0.16,0.18,0.11,1,0.07,0.31,0.32,0.25,0.32,N/A,0.10,0.22,0.26,0.31,0.19,0.30
N/A,0.03,0.04,0.03,0.04,N/A,0.12,N/A,0.14,0.24,0.28,0.19,N/A,0.15,N/A,0.34,0.08,0.03,0.05,0.07,1,0.14,0.28,0.14,0.18,N/A,0.19,0.16,0.17,0.27,0.08,0.10
N/A,0.09,0.01,0.09,0.26,N/A,0.14,N/A,0.10,0.23,0.25,0.18,N/A,0.23,N/A,0.14,0.14,0.16,0.09,0.31,0.14,1,0.24,0.15,0.26,N/A,0.23,0.20,0.22,0.30,0.25,0.14
N/A,0.01,0.27,0.01,0.10,N/A,0.15,N/A,0.10,0.29,0.34,0.31,N/A,0.25,N/A,0.17,0.09,0.26,0.13,0.32,0.28,0.24,1,0.16,0.31,N/A,0.05,0.21,0.26,0.33,0.13,0.13
N/A,0.08,0.02,0.08,0.18,N/A,0.23,N/A,0.18,0.39,0.54,0.27,N/A,0.42,N/A,0.36,0.11,0.27,0.15,0.25,0.14,0.15,0.16,1,0.26,N/A,0.09,0.28,0.47,0.34,0.10,0.26
N/A,0.05,0.19,0.05,0.14,N/A,0.20,N/A,0.10,0.28,0.37,0.35,N/A,0.23,N/A,0.23,0.14,0.28,0.13,0.32,0.18,0.26,0.31,0.26,1,N/A,0.04,0.23,0.30,0.25,0.12,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.10,-0.03,0.10,0.03,N/A,0.09,N/A,0.01,0.13,0.14,0.02,N/A,0.05,N/A,0.08,0.08,0.12,-0.06,0.10,0.19,0.23,0.05,0.09,0.04,N/A,1,0.01,0.12,0.25,0.05,0.07
N/A,0.06,0.15,0.06,0.15,N/A,0.10,N/A,0.28,0.32,0.45,0.33,N/A,0.31,N/A,0.24,0.14,0.17,0.06,0.22,0.16,0.20,0.21,0.28,0.23,N/A,0.01,1,0.39,0.28,0.08,0.12
N/A,0.04,0.11,0.04,0.20,N/A,0.23,N/A,0.24,0.42,0.65,0.28,N/A,0.53,N/A,0.40,0.17,0.50,0.12,0.26,0.17,0.22,0.26,0.47,0.30,N/A,0.12,0.39,1,0.44,0.07,0.26
N/A,0.06,0.10,0.06,0.17,N/A,0.34,N/A,0.12,0.35,0.55,0.28,N/A,0.42,N/A,0.33,0.14,0.26,0.18,0.31,0.27,0.30,0.33,0.34,0.25,N/A,0.25,0.28,0.44,1,0.18,0.25
N/A,0.42,0.04,0.42,0.08,N/A,0.08,N/A,0.01,0.20,0.14,0.07,N/A,0.11,N/A,0.12,0.00,0.12,0.13,0.19,0.08,0.25,0.13,0.10,0.12,N/A,0.05,0.08,0.07,0.18,1,0.11
