1,N/A,0.28,0.02,0.28,0.36,0.44,0.56,0.08,0.30,0.25,0.20,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.28,N/A,1,0.13,0.37,0.21,0.12,0.18,0.06,0.28,0.26,0.27,0.31
0.02,N/A,0.13,1,0.11,0.05,0.06,0.03,0.03,0.07,0.02,0.07,0.09
0.28,N/A,0.37,0.11,1,0.20,0.18,0.11,0.20,0.36,0.30,0.71,0.94
0.36,N/A,0.21,0.05,0.20,1,0.42,0.41,0.00,0.06,0.08,0.12,0.15
0.44,N/A,0.12,0.06,0.18,0.42,1,0.69,0.04,0.15,0.10,0.11,0.14
0.56,N/A,0.18,0.03,0.11,0.41,0.69,1,0.00,0.22,0.16,0.08,0.07
0.08,N/A,0.06,0.03,0.20,0.00,0.04,0.00,1,0.11,0.05,0.15,0.22
0.30,N/A,0.28,0.07,0.36,0.06,0.15,0.22,0.11,1,0.08,0.28,0.29
0.25,N/A,0.26,0.02,0.30,0.08,0.10,0.16,0.05,0.08,1,0.25,0.29
0.20,N/A,0.27,0.07,0.71,0.12,0.11,0.08,0.15,0.28,0.25,1,0.66
0.20,N/A,0.31,0.09,0.94,0.15,0.14,0.07,0.22,0.29,0.29,0.66,1
