1,0.11,N/A,0.29,0.18,0.14,N/A,N/A,N/A,N/A,0.18,0.74,0.17,0.05
0.11,1,N/A,-0.01,0.11,0.02,N/A,N/A,N/A,N/A,0.07,0.02,-0.05,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.29,-0.01,N/A,1,0.05,0.17,N/A,N/A,N/A,N/A,0.02,0.21,0.07,0.16
0.18,0.11,N/A,0.05,1,0.03,N/A,N/A,N/A,N/A,0.01,0.13,0.15,0.08
0.14,0.02,N/A,0.17,0.03,1,N/A,N/A,N/A,N/A,0.05,0.08,-0.04,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.07,N/A,0.02,0.01,0.05,N/A,N/A,N/A,N/A,1,0.09,-0.01,0.04
0.74,0.02,N/A,0.21,0.13,0.08,N/A,N/A,N/A,N/A,0.09,1,0.17,0.03
0.17,-0.05,N/A,0.07,0.15,-0.04,N/A,N/A,N/A,N/A,-0.01,0.17,1,0.00
0.05,-0.01,N/A,0.16,0.08,0.15,N/A,N/A,N/A,N/A,0.04,0.03,0.00,1
