1,N/A,N/A,N/A,N/A,-0.06,0.02,-0.01,N/A,0.08,0.07,0.04,-0.16,0.01,N/A,N/A,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.06,N/A,N/A,N/A,N/A,1,-0.00,-0.03,N/A,-0.03,0.04,-0.04,-0.03,0.03,N/A,N/A,-0.03
0.02,N/A,N/A,N/A,N/A,-0.00,1,0.82,N/A,0.08,0.42,0.23,0.02,0.16,N/A,N/A,0.02
-0.01,N/A,N/A,N/A,N/A,-0.03,0.82,1,N/A,0.10,0.32,0.21,0.10,0.12,N/A,N/A,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,N/A,N/A,N/A,N/A,-0.03,0.08,0.10,N/A,1,-0.04,0.11,0.25,0.04,N/A,N/A,-0.00
0.07,N/A,N/A,N/A,N/A,0.04,0.42,0.32,N/A,-0.04,1,0.30,-0.02,0.48,N/A,N/A,-0.07
0.04,N/A,N/A,N/A,N/A,-0.04,0.23,0.21,N/A,0.11,0.30,1,0.10,0.19,N/A,N/A,-0.04
-0.16,N/A,N/A,N/A,N/A,-0.03,0.02,0.10,N/A,0.25,-0.02,0.10,1,0.09,N/A,N/A,-0.01
0.01,N/A,N/A,N/A,N/A,0.03,0.16,0.12,N/A,0.04,0.48,0.19,0.09,1,N/A,N/A,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,N/A,N/A,N/A,N/A,-0.03,0.02,0.02,N/A,-0.00,-0.07,-0.04,-0.01,-0.01,N/A,N/A,1
