1,0.09,-0.02,0.09,0.04,0.07,0.02,N/A,N/A,N/A,-0.05,0.04,0.12,0.18,N/A,0.09,0.04,0.06,0.07
0.09,1,0.02,0.33,0.01,0.16,0.23,N/A,N/A,N/A,-0.02,0.06,0.75,0.19,N/A,0.05,0.04,0.06,0.22
-0.02,0.02,1,0.09,-0.02,0.02,0.01,N/A,N/A,N/A,0.02,0.05,0.03,0.01,N/A,0.06,-0.01,0.08,0.18
0.09,0.33,0.09,1,0.00,0.15,0.30,N/A,N/A,N/A,0.04,0.14,0.21,0.24,N/A,0.19,0.07,0.12,0.18
0.04,0.01,-0.02,0.00,1,0.01,0.02,N/A,N/A,N/A,-0.06,-0.01,-0.00,0.01,N/A,0.02,-0.00,-0.00,0.00
0.07,0.16,0.02,0.15,0.01,1,0.27,N/A,N/A,N/A,0.07,0.15,0.15,0.33,N/A,0.12,0.01,0.10,0.21
0.02,0.23,0.01,0.30,0.02,0.27,1,N/A,N/A,N/A,0.08,0.30,0.17,0.40,N/A,0.19,0.09,0.17,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.05,-0.02,0.02,0.04,-0.06,0.07,0.08,N/A,N/A,N/A,1,0.02,-0.06,0.09,N/A,0.01,0.06,0.06,-0.03
0.04,0.06,0.05,0.14,-0.01,0.15,0.30,N/A,N/A,N/A,0.02,1,0.09,0.32,N/A,0.25,0.10,0.65,0.24
0.12,0.75,0.03,0.21,-0.00,0.15,0.17,N/A,N/A,N/A,-0.06,0.09,1,0.17,N/A,0.02,0.05,0.08,0.24
0.18,0.19,0.01,0.24,0.01,0.33,0.40,N/A,N/A,N/A,0.09,0.32,0.17,1,N/A,0.25,0.20,0.26,0.41
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,0.05,0.06,0.19,0.02,0.12,0.19,N/A,N/A,N/A,0.01,0.25,0.02,0.25,N/A,1,0.16,0.12,0.13
0.04,0.04,-0.01,0.07,-0.00,0.01,0.09,N/A,N/A,N/A,0.06,0.10,0.05,0.20,N/A,0.16,1,0.06,0.13
0.06,0.06,0.08,0.12,-0.00,0.10,0.17,N/A,N/A,N/A,0.06,0.65,0.08,0.26,N/A,0.12,0.06,1,0.15
0.07,0.22,0.18,0.18,0.00,0.21,0.42,N/A,N/A,N/A,-0.03,0.24,0.24,0.41,N/A,0.13,0.13,0.15,1
