1,0.13,-0.01,0.08,0.02,0.04,-0.07,0.13,0.22,0.03
0.13,1,-0.01,0.18,0.07,0.01,0.04,-0.06,0.10,0.02
-0.01,-0.01,1,0.04,0.02,0.08,0.01,0.03,-0.01,-0.01
0.08,0.18,0.04,1,0.09,0.02,-0.00,0.10,0.10,0.04
0.02,0.07,0.02,0.09,1,-0.01,-0.00,0.03,0.09,-0.06
0.04,0.01,0.08,0.02,-0.01,1,-0.03,-0.03,0.16,0.08
-0.07,0.04,0.01,-0.00,-0.00,-0.03,1,0.10,0.16,0.11
0.13,-0.06,0.03,0.10,0.03,-0.03,0.10,1,0.20,0.02
0.22,0.10,-0.01,0.10,0.09,0.16,0.16,0.20,1,0.07
0.03,0.02,-0.01,0.04,-0.06,0.08,0.11,0.02,0.07,1
