1,N/A,N/A,0.07,0.59,N/A,0.26,0.18,0.18,N/A,0.43,0.06,0.15,0.26,0.04,0.05,0.06,0.08,0.20,0.07,0.16,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,N/A,1,0.13,N/A,-0.00,0.03,-0.00,N/A,0.13,0.00,0.05,0.05,-0.01,0.07,0.06,0.03,0.01,0.03,0.17,0.02
0.59,N/A,N/A,0.13,1,N/A,0.26,0.29,0.16,N/A,0.55,0.08,0.22,0.41,0.08,0.12,0.12,0.17,0.13,0.08,0.33,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,N/A,N/A,-0.00,0.26,N/A,1,0.17,0.06,N/A,0.20,-0.02,0.03,0.17,0.03,0.01,0.08,0.04,0.15,-0.01,0.08,0.12
0.18,N/A,N/A,0.03,0.29,N/A,0.17,1,0.01,N/A,0.19,0.00,0.14,0.14,0.01,0.01,0.02,0.06,0.07,-0.01,0.13,0.07
0.18,N/A,N/A,-0.00,0.16,N/A,0.06,0.01,1,N/A,0.21,0.04,-0.03,0.16,-0.01,-0.10,-0.01,0.01,0.06,-0.05,-0.05,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.43,N/A,N/A,0.13,0.55,N/A,0.20,0.19,0.21,N/A,1,-0.04,0.08,0.24,0.01,0.05,0.16,0.10,0.05,0.13,0.21,0.04
0.06,N/A,N/A,0.00,0.08,N/A,-0.02,0.00,0.04,N/A,-0.04,1,0.02,0.11,0.02,-0.03,0.19,-0.03,0.07,-0.05,0.04,-0.04
0.15,N/A,N/A,0.05,0.22,N/A,0.03,0.14,-0.03,N/A,0.08,0.02,1,0.07,-0.06,0.05,0.04,0.05,0.03,0.20,0.16,-0.05
0.26,N/A,N/A,0.05,0.41,N/A,0.17,0.14,0.16,N/A,0.24,0.11,0.07,1,-0.03,0.11,0.03,0.08,0.10,0.10,0.03,0.04
0.04,N/A,N/A,-0.01,0.08,N/A,0.03,0.01,-0.01,N/A,0.01,0.02,-0.06,-0.03,1,0.04,0.03,0.03,0.01,0.07,0.00,-0.01
0.05,N/A,N/A,0.07,0.12,N/A,0.01,0.01,-0.10,N/A,0.05,-0.03,0.05,0.11,0.04,1,0.02,-0.01,-0.04,0.01,0.08,-0.01
0.06,N/A,N/A,0.06,0.12,N/A,0.08,0.02,-0.01,N/A,0.16,0.19,0.04,0.03,0.03,0.02,1,0.03,-0.02,0.04,0.07,-0.08
0.08,N/A,N/A,0.03,0.17,N/A,0.04,0.06,0.01,N/A,0.10,-0.03,0.05,0.08,0.03,-0.01,0.03,1,-0.03,0.04,0.02,0.02
0.20,N/A,N/A,0.01,0.13,N/A,0.15,0.07,0.06,N/A,0.05,0.07,0.03,0.10,0.01,-0.04,-0.02,-0.03,1,-0.01,0.23,0.05
0.07,N/A,N/A,0.03,0.08,N/A,-0.01,-0.01,-0.05,N/A,0.13,-0.05,0.20,0.10,0.07,0.01,0.04,0.04,-0.01,1,0.03,0.07
0.16,N/A,N/A,0.17,0.33,N/A,0.08,0.13,-0.05,N/A,0.21,0.04,0.16,0.03,0.00,0.08,0.07,0.02,0.23,0.03,1,0.06
0.02,N/A,N/A,0.02,0.12,N/A,0.12,0.07,0.07,N/A,0.04,-0.04,-0.05,0.04,-0.01,-0.01,-0.08,0.02,0.05,0.07,0.06,1
