1,0.51,0.51,0.29,0.53,0.34,0.29,0.52,0.51,0.41,N/A,0.11,0.46,0.29,0.44,0.52
0.51,1,0.99,0.52,0.90,0.90,0.91,0.96,0.99,0.71,N/A,0.09,0.84,0.91,0.74,0.97
0.51,0.99,1,0.53,0.91,0.91,0.92,0.97,0.99,0.71,N/A,0.09,0.85,0.92,0.76,0.98
0.29,0.52,0.53,1,0.50,0.45,0.45,0.54,0.52,0.38,N/A,0.05,0.45,0.45,0.40,0.54
0.53,0.90,0.91,0.50,1,0.83,0.83,0.93,0.90,0.68,N/A,0.12,0.84,0.83,0.70,0.94
0.34,0.90,0.91,0.45,0.83,1,0.97,0.90,0.91,0.64,N/A,0.06,0.77,0.97,0.68,0.90
0.29,0.91,0.92,0.45,0.83,0.97,1,0.91,0.92,0.63,N/A,0.04,0.78,1.00,0.67,0.92
0.52,0.96,0.97,0.54,0.93,0.90,0.91,1,0.97,0.70,N/A,0.09,0.87,0.91,0.73,0.99
0.51,0.99,0.99,0.52,0.90,0.91,0.92,0.97,1,0.71,N/A,0.09,0.85,0.92,0.75,0.97
0.41,0.71,0.71,0.38,0.68,0.64,0.63,0.70,0.71,1,N/A,0.76,0.62,0.63,0.53,0.71
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.09,0.09,0.05,0.12,0.06,0.04,0.09,0.09,0.76,N/A,1,0.09,0.04,0.05,0.09
0.46,0.84,0.85,0.45,0.84,0.77,0.78,0.87,0.85,0.62,N/A,0.09,1,0.78,0.64,0.87
0.29,0.91,0.92,0.45,0.83,0.97,1.00,0.91,0.92,0.63,N/A,0.04,0.78,1,0.67,0.92
0.44,0.74,0.76,0.40,0.70,0.68,0.67,0.73,0.75,0.53,N/A,0.05,0.64,0.67,1,0.74
0.52,0.97,0.98,0.54,0.94,0.90,0.92,0.99,0.97,0.71,N/A,0.09,0.87,0.92,0.74,1
