N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.12,0.09,0.35,0.28,0.16,0.10,0.96,0.08,0.96,0.04,0.18,0.01,0.21,0.26,N/A,0.75,N/A,0.37,0.29,0.13,0.13,0.26
N/A,0.12,1,-0.02,-0.01,0.03,0.03,0.00,0.10,-0.02,0.11,0.01,0.07,-0.04,0.01,0.04,N/A,0.09,N/A,0.05,0.12,0.08,-0.04,0.08
N/A,0.09,-0.02,1,0.13,0.28,0.10,0.11,0.04,0.03,0.10,0.04,0.08,0.02,0.92,0.19,N/A,0.22,N/A,0.24,0.17,0.10,0.11,0.12
N/A,0.35,-0.01,0.13,1,0.35,0.22,0.15,0.30,0.10,0.43,0.16,0.13,0.05,0.31,0.47,N/A,0.40,N/A,0.62,0.42,0.18,0.22,0.35
N/A,0.28,0.03,0.28,0.35,1,0.25,0.11,0.17,0.14,0.33,0.21,0.19,0.03,0.47,0.49,N/A,0.82,N/A,0.61,0.46,0.22,0.17,0.39
N/A,0.16,0.03,0.10,0.22,0.25,1,0.13,0.13,0.16,0.22,0.13,0.05,0.18,0.21,0.29,N/A,0.25,N/A,0.32,0.31,0.16,0.12,0.22
N/A,0.10,0.00,0.11,0.15,0.11,0.13,1,0.10,-0.02,0.13,0.02,0.01,0.05,0.15,0.23,N/A,0.12,N/A,0.16,0.11,0.04,0.19,0.14
N/A,0.96,0.10,0.04,0.30,0.17,0.13,0.10,1,0.05,0.96,0.02,0.15,-0.02,0.12,0.17,N/A,0.70,N/A,0.24,0.18,0.09,0.09,0.17
N/A,0.08,-0.02,0.03,0.10,0.14,0.16,-0.02,0.05,1,0.12,0.06,0.14,0.27,0.11,0.20,N/A,0.11,N/A,0.23,0.27,0.22,0.12,0.11
N/A,0.96,0.11,0.10,0.43,0.33,0.22,0.13,0.96,0.12,1,0.07,0.21,0.00,0.26,0.36,N/A,0.78,N/A,0.48,0.36,0.18,0.19,0.32
N/A,0.04,0.01,0.04,0.16,0.21,0.13,0.02,0.02,0.06,0.07,1,0.01,0.05,0.10,0.16,N/A,0.16,N/A,0.18,0.20,0.15,0.09,0.11
N/A,0.18,0.07,0.08,0.13,0.19,0.05,0.01,0.15,0.14,0.21,0.01,1,0.06,0.18,0.19,N/A,0.21,N/A,0.26,0.27,0.18,0.09,0.19
N/A,0.01,-0.04,0.02,0.05,0.03,0.18,0.05,-0.02,0.27,0.00,0.05,0.06,1,0.03,0.05,N/A,0.01,N/A,0.04,0.29,0.07,0.02,0.27
N/A,0.21,0.01,0.92,0.31,0.47,0.21,0.15,0.12,0.11,0.26,0.10,0.18,0.03,1,0.43,N/A,0.38,N/A,0.54,0.41,0.22,0.22,0.33
N/A,0.26,0.04,0.19,0.47,0.49,0.29,0.23,0.17,0.20,0.36,0.16,0.19,0.05,0.43,1,N/A,0.41,N/A,0.78,0.57,0.29,0.32,0.43
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.75,0.09,0.22,0.40,0.82,0.25,0.12,0.70,0.11,0.78,0.16,0.21,0.01,0.38,0.41,N/A,1,N/A,0.53,0.40,0.19,0.16,0.34
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.37,0.05,0.24,0.62,0.61,0.32,0.16,0.24,0.23,0.48,0.18,0.26,0.04,0.54,0.78,N/A,0.53,N/A,1,0.69,0.36,0.35,0.56
N/A,0.29,0.12,0.17,0.42,0.46,0.31,0.11,0.18,0.27,0.36,0.20,0.27,0.29,0.41,0.57,N/A,0.40,N/A,0.69,1,0.46,0.31,0.51
N/A,0.13,0.08,0.10,0.18,0.22,0.16,0.04,0.09,0.22,0.18,0.15,0.18,0.07,0.22,0.29,N/A,0.19,N/A,0.36,0.46,1,0.09,0.32
N/A,0.13,-0.04,0.11,0.22,0.17,0.12,0.19,0.09,0.12,0.19,0.09,0.09,0.02,0.22,0.32,N/A,0.16,N/A,0.35,0.31,0.09,1,0.16
N/A,0.26,0.08,0.12,0.35,0.39,0.22,0.14,0.17,0.11,0.32,0.11,0.19,0.27,0.33,0.43,N/A,0.34,N/A,0.56,0.51,0.32,0.16,1
