1,0.36,0.52,0.70,0.67,0.74,0.64,0.49,0.03,0.20,0.58,0.89,N/A,0.56,0.73,0.12,0.63,0.59,0.32,0.48,0.59,0.74,0.34,0.93,0.55,0.97,0.13,0.12,0.58,0.16,0.33,N/A,0.44,0.62,0.47,0.82
0.36,1,0.27,0.34,0.30,0.35,0.37,0.24,0.01,0.13,0.33,0.34,N/A,0.28,0.34,0.03,0.34,0.31,0.13,0.26,0.32,0.40,0.13,0.37,0.36,0.38,0.14,0.06,0.34,0.05,0.16,N/A,0.27,0.29,0.23,0.43
0.52,0.27,1,0.78,0.46,0.52,0.58,0.44,0.03,0.28,0.60,0.50,N/A,0.43,0.52,0.27,0.44,0.53,0.22,0.42,0.46,0.56,0.92,0.52,0.49,0.57,0.26,0.09,0.52,0.08,0.19,N/A,0.41,0.50,0.40,0.59
0.70,0.34,0.78,1,0.63,0.71,0.86,0.52,0.12,0.22,0.69,0.65,N/A,0.55,0.70,0.18,0.60,0.84,0.53,0.50,0.59,0.69,0.64,0.69,0.65,0.74,0.19,0.12,0.61,0.13,0.26,N/A,0.49,0.62,0.53,0.74
0.67,0.30,0.46,0.63,1,0.97,0.56,0.47,0.02,0.15,0.51,0.53,N/A,0.46,0.99,0.16,0.48,0.53,0.23,0.38,0.47,0.56,0.32,0.55,0.51,0.68,0.11,0.09,0.50,0.05,0.25,N/A,0.51,0.46,0.37,0.59
0.74,0.35,0.52,0.71,0.97,1,0.65,0.52,0.05,0.18,0.57,0.61,N/A,0.53,0.99,0.18,0.54,0.61,0.26,0.44,0.54,0.64,0.35,0.63,0.58,0.76,0.14,0.09,0.56,0.08,0.30,N/A,0.55,0.52,0.44,0.69
0.64,0.37,0.58,0.86,0.56,0.65,1,0.47,0.11,0.21,0.65,0.61,N/A,0.53,0.64,0.12,0.56,0.98,0.34,0.46,0.56,0.64,0.41,0.66,0.76,0.68,0.18,0.08,0.51,0.09,0.22,N/A,0.47,0.59,0.53,0.71
0.49,0.24,0.44,0.52,0.47,0.52,0.47,1,0.05,0.27,0.50,0.48,N/A,0.36,0.51,0.14,0.40,0.41,0.24,0.33,0.40,0.46,0.35,0.50,0.48,0.53,0.37,0.13,0.45,0.03,0.14,N/A,0.35,0.56,0.39,0.52
0.03,0.01,0.03,0.12,0.02,0.05,0.11,0.05,1,-0.07,0.05,0.09,N/A,0.02,0.03,0.01,0.04,0.12,0.26,0.05,0.01,0.03,0.01,0.04,0.08,0.10,-0.02,0.01,0.04,0.03,-0.06,N/A,0.02,0.03,0.09,0.06
0.20,0.13,0.28,0.22,0.15,0.18,0.21,0.27,-0.07,1,0.14,0.19,N/A,0.14,0.17,0.09,0.24,0.19,0.07,0.17,0.15,0.22,0.25,0.22,0.21,0.21,0.55,0.13,0.13,0.07,0.09,N/A,0.16,0.20,0.15,0.27
0.58,0.33,0.60,0.69,0.51,0.57,0.65,0.50,0.05,0.14,1,0.57,N/A,0.53,0.58,0.19,0.51,0.60,0.27,0.35,0.70,0.57,0.47,0.60,0.58,0.61,0.14,0.06,0.50,0.07,0.21,N/A,0.49,0.57,0.44,0.61
0.89,0.34,0.50,0.65,0.53,0.61,0.61,0.48,0.09,0.19,0.57,1,N/A,0.50,0.59,0.15,0.54,0.57,0.31,0.43,0.55,0.64,0.34,0.95,0.54,0.88,0.15,0.18,0.51,0.15,0.29,N/A,0.44,0.61,0.53,0.70
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.56,0.28,0.43,0.55,0.46,0.53,0.53,0.36,0.02,0.14,0.53,0.50,N/A,1,0.53,0.10,0.50,0.48,0.21,0.46,0.50,0.58,0.26,0.54,0.45,0.57,0.04,0.08,0.48,0.12,0.23,N/A,0.45,0.44,0.39,0.65
0.73,0.34,0.52,0.70,0.99,0.99,0.64,0.51,0.03,0.17,0.58,0.59,N/A,0.53,1,0.16,0.55,0.59,0.26,0.44,0.53,0.64,0.35,0.63,0.57,0.75,0.12,0.10,0.56,0.07,0.28,N/A,0.55,0.52,0.41,0.68
0.12,0.03,0.27,0.18,0.16,0.18,0.12,0.14,0.01,0.09,0.19,0.15,N/A,0.10,0.16,1,0.07,0.11,-0.02,0.04,0.12,0.11,0.30,0.09,0.20,0.13,0.09,0.00,0.12,0.00,0.11,N/A,0.05,0.05,0.13,0.10
0.63,0.34,0.44,0.60,0.48,0.54,0.56,0.40,0.04,0.24,0.51,0.54,N/A,0.50,0.55,0.07,1,0.48,0.31,0.45,0.49,0.79,0.27,0.59,0.46,0.64,0.13,0.10,0.50,0.11,0.23,N/A,0.38,0.49,0.39,0.72
0.59,0.31,0.53,0.84,0.53,0.61,0.98,0.41,0.12,0.19,0.60,0.57,N/A,0.48,0.59,0.11,0.48,1,0.31,0.40,0.51,0.57,0.39,0.60,0.72,0.62,0.12,0.06,0.46,0.07,0.19,N/A,0.43,0.54,0.50,0.62
0.32,0.13,0.22,0.53,0.23,0.26,0.34,0.24,0.26,0.07,0.27,0.31,N/A,0.21,0.26,-0.02,0.31,0.31,1,0.23,0.27,0.31,0.13,0.34,0.28,0.33,0.10,0.07,0.28,0.17,0.13,N/A,0.21,0.28,0.23,0.35
0.48,0.26,0.42,0.50,0.38,0.44,0.46,0.33,0.05,0.17,0.35,0.43,N/A,0.46,0.44,0.04,0.45,0.40,0.23,1,0.40,0.54,0.27,0.47,0.40,0.50,0.22,0.06,0.38,0.06,0.24,N/A,0.31,0.37,0.38,0.61
0.59,0.32,0.46,0.59,0.47,0.54,0.56,0.40,0.01,0.15,0.70,0.55,N/A,0.50,0.53,0.12,0.49,0.51,0.27,0.40,1,0.56,0.29,0.60,0.51,0.60,0.16,0.21,0.47,0.13,0.80,N/A,0.45,0.52,0.35,0.61
