1,0.07,0.23,N/A,0.13,0.80,0.06,N/A,0.18,N/A,0.21,0.15,0.10,0.09
0.07,1,0.13,N/A,0.17,0.18,0.16,N/A,0.04,N/A,0.13,0.10,0.02,0.05
0.23,0.13,1,N/A,0.17,0.33,0.06,N/A,0.13,N/A,0.18,0.09,0.09,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.17,0.17,N/A,1,0.18,0.07,N/A,0.08,N/A,0.13,0.17,0.02,0.07
0.80,0.18,0.33,N/A,0.18,1,0.16,N/A,0.22,N/A,0.49,0.21,0.14,0.24
0.06,0.16,0.06,N/A,0.07,0.16,1,N/A,-0.04,N/A,0.07,0.01,0.05,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.04,0.13,N/A,0.08,0.22,-0.04,N/A,1,N/A,0.07,0.17,0.10,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,0.13,0.18,N/A,0.13,0.49,0.07,N/A,0.07,N/A,1,0.28,0.08,0.20
0.15,0.10,0.09,N/A,0.17,0.21,0.01,N/A,0.17,N/A,0.28,1,0.04,0.07
0.10,0.02,0.09,N/A,0.02,0.14,0.05,N/A,0.10,N/A,0.08,0.04,1,0.05
0.09,0.05,0.27,N/A,0.07,0.24,0.01,N/A,0.03,N/A,0.20,0.07,0.05,1
