1,0.23,0.33,0.06,0.30,0.08,0.30,0.24,0.23,0.33,0.09,-0.03,0.07,0.28,0.14,0.56,0.09
0.23,1,0.14,0.24,0.34,0.33,0.45,0.43,0.06,0.44,0.14,0.21,0.16,0.48,0.47,0.14,0.30
0.33,0.14,1,0.18,0.15,0.13,0.41,0.25,0.39,0.19,0.14,0.05,0.27,0.18,0.14,0.10,0.03
0.06,0.24,0.18,1,0.22,0.18,0.37,0.35,0.16,0.36,0.11,0.16,0.18,0.30,0.39,0.23,0.19
0.30,0.34,0.15,0.22,1,0.17,0.21,0.25,0.14,0.30,0.04,0.12,0.14,0.28,0.33,0.16,0.13
0.08,0.33,0.13,0.18,0.17,1,0.30,0.25,0.09,0.29,0.16,0.08,0.21,0.35,0.38,0.16,0.22
0.30,0.45,0.41,0.37,0.21,0.30,1,0.43,0.27,0.46,0.12,0.10,0.41,0.52,0.55,0.25,0.17
0.24,0.43,0.25,0.35,0.25,0.25,0.43,1,0.21,0.34,0.10,0.13,0.10,0.46,0.43,0.21,0.27
0.23,0.06,0.39,0.16,0.14,0.09,0.27,0.21,1,0.35,0.06,0.12,0.38,0.14,0.08,0.13,0.09
0.33,0.44,0.19,0.36,0.30,0.29,0.46,0.34,0.35,1,0.16,0.10,0.34,0.51,0.68,0.21,0.26
0.09,0.14,0.14,0.11,0.04,0.16,0.12,0.10,0.06,0.16,1,0.03,0.27,0.21,0.22,0.07,0.10
-0.03,0.21,0.05,0.16,0.12,0.08,0.10,0.13,0.12,0.10,0.03,1,0.04,0.16,0.12,0.17,0.38
0.07,0.16,0.27,0.18,0.14,0.21,0.41,0.10,0.38,0.34,0.27,0.04,1,0.37,0.23,0.09,0.18
0.28,0.48,0.18,0.30,0.28,0.35,0.52,0.46,0.14,0.51,0.21,0.16,0.37,1,0.57,0.21,0.25
0.14,0.47,0.14,0.39,0.33,0.38,0.55,0.43,0.08,0.68,0.22,0.12,0.23,0.57,1,0.29,0.24
0.56,0.14,0.10,0.23,0.16,0.16,0.25,0.21,0.13,0.21,0.07,0.17,0.09,0.21,0.29,1,0.18
0.09,0.30,0.03,0.19,0.13,0.22,0.17,0.27,0.09,0.26,0.10,0.38,0.18,0.25,0.24,0.18,1
