1,0.31,0.42,0.45,0.11,0.50,0.13,0.12,0.17,0.36,0.15,0.24,0.28,0.12
0.31,1,0.27,0.36,0.12,0.23,0.19,0.13,0.09,0.38,0.17,0.28,0.37,0.09
0.42,0.27,1,0.33,0.15,0.64,0.19,0.19,0.22,0.38,0.34,0.16,0.34,0.24
0.45,0.36,0.33,1,0.11,0.29,0.16,0.21,0.22,0.30,0.20,0.53,0.41,0.12
0.11,0.12,0.15,0.11,1,0.05,0.06,0.39,0.12,0.13,0.17,0.10,0.13,0.03
0.50,0.23,0.64,0.29,0.05,1,0.20,0.20,0.25,0.27,0.11,0.16,0.29,0.23
0.13,0.19,0.19,0.16,0.06,0.20,1,0.19,0.43,0.47,0.16,0.23,0.12,0.20
0.12,0.13,0.19,0.21,0.39,0.20,0.19,1,0.17,0.16,0.33,0.29,0.14,0.14
0.17,0.09,0.22,0.22,0.12,0.25,0.43,0.17,1,0.26,0.13,0.11,0.23,0.14
0.36,0.38,0.38,0.30,0.13,0.27,0.47,0.16,0.26,1,0.24,0.38,0.41,0.31
0.15,0.17,0.34,0.20,0.17,0.11,0.16,0.33,0.13,0.24,1,0.25,0.15,0.23
0.24,0.28,0.16,0.53,0.10,0.16,0.23,0.29,0.11,0.38,0.25,1,0.36,0.10
0.28,0.37,0.34,0.41,0.13,0.29,0.12,0.14,0.23,0.41,0.15,0.36,1,0.17
0.12,0.09,0.24,0.12,0.03,0.23,0.20,0.14,0.14,0.31,0.23,0.10,0.17,1
