1,0.03,0.16,0.16,0.14,0.02,0.16,0.13,0.01,0.01,0.16,0.15,0.06,0.09,0.02
0.03,1,0.05,0.21,0.10,0.28,0.15,0.34,0.52,0.09,0.15,0.22,0.79,0.12,0.42
0.16,0.05,1,0.09,0.32,0.16,0.11,0.15,0.02,0.08,0.08,0.07,0.04,0.28,0.15
0.16,0.21,0.09,1,0.23,0.09,0.58,0.44,0.09,0.10,0.26,0.21,0.47,0.24,0.23
0.14,0.10,0.32,0.23,1,0.22,0.24,0.20,0.07,0.12,0.29,0.20,0.12,0.35,0.07
0.02,0.28,0.16,0.09,0.22,1,0.18,0.15,0.27,0.06,0.07,0.28,0.32,0.15,0.07
0.16,0.15,0.11,0.58,0.24,0.18,1,0.56,0.10,0.11,0.33,0.14,0.41,0.47,0.14
0.13,0.34,0.15,0.44,0.20,0.15,0.56,1,0.14,0.25,0.47,0.29,0.27,0.33,0.48
0.01,0.52,0.02,0.09,0.07,0.27,0.10,0.14,1,0.02,0.16,0.13,0.21,0.10,0.07
0.01,0.09,0.08,0.10,0.12,0.06,0.11,0.25,0.02,1,0.06,0.11,0.09,0.10,0.33
0.16,0.15,0.08,0.26,0.29,0.07,0.33,0.47,0.16,0.06,1,0.15,0.19,0.44,0.22
0.15,0.22,0.07,0.21,0.20,0.28,0.14,0.29,0.13,0.11,0.15,1,0.21,0.12,0.11
0.06,0.79,0.04,0.47,0.12,0.32,0.41,0.27,0.21,0.09,0.19,0.21,1,0.30,0.43
0.09,0.12,0.28,0.24,0.35,0.15,0.47,0.33,0.10,0.10,0.44,0.12,0.30,1,0.14
0.02,0.42,0.15,0.23,0.07,0.07,0.14,0.48,0.07,0.33,0.22,0.11,0.43,0.14,1
