1,0.09,0.13,-0.01,0.01,0.11,0.03,0.03,0.08,-0.05,0.0
0.09,1,0.15,0.46,0.32,0.52,0.38,0.27,0.25,0.08,0.0
0.13,0.15,1,0.13,0.11,0.08,0.12,0.14,0.11,0.02,0.0
-0.01,0.46,0.13,1,0.52,0.44,0.48,0.47,0.45,0.08,0.0
0.01,0.32,0.11,0.52,1,0.27,0.35,0.43,0.28,0.06,0.0
0.11,0.52,0.08,0.44,0.27,1,0.39,0.34,0.27,0.19,0.0
0.03,0.38,0.12,0.48,0.35,0.39,1,0.46,0.40,0.17,0.0
0.03,0.27,0.14,0.47,0.43,0.34,0.46,1,0.34,0.08,0.0
0.08,0.25,0.11,0.45,0.28,0.27,0.40,0.34,1,0.06,0.0
-0.05,0.08,0.02,0.08,0.06,0.19,0.17,0.08,0.06,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
